student_id,student_first_name,student_last_name,student_email,student_major,student_status,student_enrollment_date,student_cohort,current_gpa,cumulative_gpa,credits_completed,semesters_enrolled,academic_standing,scholarship_id,scholarship_name,scholarship_type,scholarship_amount,award_date,academic_year,is_renewable,gpa_requirement,renewal_count,total_scholarships,total_scholarship_amount,merit_scholarship_total,need_based_total,athletic_scholarship_total,departmental_total,avg_scholarship_amount,largest_scholarship,total_tuition_paid,scholarship_coverage_pct,net_tuition_cost,has_additional_aid,semesters_since_award,gpa_at_award,gpa_current,gpa_change_since_award,met_gpa_requirement,courses_passed_since_award,credits_earned_since_award,is_still_enrolled,retention_status,graduation_status,semesters_retained,retention_rate_pct,gpa_vs_non_scholarship_avg,retention_vs_non_scholarship,graduation_rate_vs_average,scholarship_per_credit_hour,scholarship_roi_score,is_scholarship_at_risk,is_high_performer,is_scholarship_renewed,meets_requirements
8026,Crystal,Clark,jennifersmith@example.org,History,On Leave,2024-12-29,2024,2.16,2.16,13,8,Warning,16304804-c461-4c0d-9cbe-8f6f78b9dc04,Community Service Award,Need-Based,10654.15,2023-11-18,2023-2024,True,2.67,1,1,23812.52,0,7143.76,0,0,23812.52,10654.15,59870.63,59.53,21491.98,True,1,3.89,2.16,-1.73,False,30,96,False,Not Retained,Graduated,2,89.6,0.41,5.45,0.26,1831.73,67.21,True,False,False,False
7675,Julian,Bowman,debbie08@example.com,Psychology,Active,2024-04-22,2024,3.64,3.64,14,7,Good,b9e5592d-9865-45d0-81d8-e45424bf0629,Leadership Scholarship,Merit,10419.78,2024-05-12,2024-2025,False,3.09,3,1,12402.13,4960.85,0,0,0,12402.13,10419.78,22606.5,31.01,17529.79,False,2,3.47,3.64,0.17,True,11,50,True,Retained,In Progress,3,91.82,0.3,7.96,-0.13,885.87,89.32,False,False,False,True
9795,Adam,Williams,tanya94@example.net,English,On Leave,2025-11-03,2025,3.74,3.74,103,4,Good,33ce1305-0cc6-420d-a9b0-8bba56e1acc0,Presidential Scholarship,Athletic,4193.15,2024-11-02,2024-2025,False,2.5,0,2,9555.48,0,0,4777.74,0,4777.74,4193.15,37357.27,23.89,15132.18,True,4,3.9,3.74,-0.16,True,27,82,False,Not Retained,Graduated,6,93.49,-0.19,13.08,9.62,92.77,89.26,False,True,True,True
4129,Joseph,Ford,colliersuzanne@example.com,Biology,Graduated,2022-07-21,2022,3.43,3.43,72,4,Good,238193af-2d4f-42ba-8e63-b5938a96a82c,Diversity Scholarship,Merit,11825.5,2024-04-30,2024-2025,False,2.82,0,1,18460.76,7384.3,0,0,0,18460.76,11825.5,39494.91,46.15,21486.82,False,6,3.62,3.43,-0.19,True,24,116,False,Not Retained,Graduated,8,93.32,-0.13,12.26,8.95,256.4,58.39,False,False,False,True
8875,Craig,Henry,raymondcarter@example.com,English,Active,2023-05-15,2023,3.63,3.63,77,8,Good,26172160-1b99-4b05-913d-6ff53ce02078,First Generation Grant,Need-Based,12500.08,2024-11-22,2024-2025,False,2.51,0,2,23909.27,0,7172.78,0,0,11954.63,12500.08,36375.47,59.77,11094.39,True,6,3.0,3.63,0.63,True,16,92,True,Retained,In Progress,4,94.39,-0.18,6.27,3.62,310.51,71.25,False,False,False,True
9512,Maria,Davis,paula94@example.org,Biology,Active,2024-07-31,2024,3.14,3.14,88,4,Good,e50a65c1-3e99-4f65-94ba-181b5e40fad9,Dean's Scholarship,Departmental,4089.85,2023-12-07,2023-2024,True,3.01,2,2,8867.57,0,0,0,2660.27,4433.78,4089.85,52811.6,22.17,32321.38,True,6,3.69,3.14,-0.55,True,15,74,True,Retained,In Progress,3,94.08,-0.14,13.08,2.86,100.77,76.27,False,False,False,True
1996,Jeremy,Montoya,kbrown@example.org,Business,Active,2025-01-06,2025,2.02,2.02,34,5,Warning,110daf05-fa5b-4637-9b63-6c63df293679,Leadership Scholarship,Departmental,13120.45,2023-02-27,2023-2024,True,3.0,1,3,14322.55,0,0,0,4296.77,4774.18,13120.45,38005.04,35.81,18782.44,True,2,3.55,2.02,-1.53,False,32,105,True,Retained,In Progress,3,97.98,0.29,2.61,0.38,421.25,55.34,True,False,False,False
4046,Jennifer,Meyer,cathycarrillo@example.net,Biology,Active,2025-03-11,2025,3.17,3.17,112,8,Good,bc5ef564-1db1-4e47-8ad2-bf54c8f4344e,Community Service Award,Merit,12297.68,2024-10-07,2024-2025,True,3.05,2,2,15174.06,6069.63,0,0,0,7587.03,12297.68,56886.29,37.94,28205.92,False,1,3.52,3.17,-0.35,True,11,77,True,Retained,In Progress,5,94.25,-0.12,4.51,0.56,135.48,69.29,False,False,False,True
9905,Robert,Rivera,rowlandtanya@example.com,Economics,Active,2022-08-05,2022,2.16,2.16,24,3,Warning,96231f8d-dac8-4274-a127-61d82c62f2c9,First Generation Grant,Need-Based,1555.27,2025-01-02,2025-2026,False,3.06,1,2,2952.29,0,885.69,0,0,1476.14,1555.27,24671.43,7.38,26471.94,False,5,3.93,2.16,-1.77,False,34,33,True,Retained,In Progress,8,90.4,0.16,10.99,-3.33,123.01,97.89,True,False,True,False
4574,Robert,Wheeler,jon61@example.net,Engineering,Active,2024-10-06,2024,3.86,3.86,10,4,Good,28fc66cc-c13d-471d-ac4f-4c83153ce71f,STEM Innovation Grant,Athletic,6189.93,2024-02-26,2024-2025,False,3.37,3,1,15233.65,0,0,7616.82,0,15233.65,6189.93,45714.3,38.08,21517.07,True,4,3.92,3.86,-0.06,True,15,99,True,Retained,In Progress,6,96.01,0.14,8.61,7.82,1523.36,75.84,False,True,True,True
4895,David,Johnson,victoria46@example.net,Computer Science,On Leave,2024-04-01,2024,2.66,2.66,27,8,Warning,d4c745b5-bff3-4b67-9c76-3ff5c4f22c17,Leadership Scholarship,Athletic,6352.44,2024-01-03,2024-2025,False,3.31,1,3,10087.15,0,0,5043.58,0,3362.38,6352.44,40107.49,25.22,19096.16,False,3,4.0,2.66,-1.34,True,21,88,False,Not Retained,Graduated,7,92.7,0.18,9.79,8.12,373.6,96.52,False,False,False,True
4054,Aaron,Brown,geraldcastro@example.net,Mathematics,Active,2024-11-27,2024,2.9,2.9,81,7,Warning,615727e3-ddae-40e8-95b2-caab0fbe140b,Leadership Scholarship,Merit,3756.4,2023-07-23,2023-2024,False,2.58,0,1,7953.58,3181.43,0,0,0,7953.58,3756.4,31728.97,19.88,24571.46,True,1,3.32,2.9,-0.42,True,36,64,True,Retained,In Progress,7,86.57,0.34,3.6,3.36,98.19,56.06,False,False,True,True
2996,Daniel,Stokes,bassjackie@example.org,Computer Science,Active,2025-08-11,2025,2.27,2.27,115,6,Warning,d0d149ae-a47f-42f8-9e7e-eaf6854fc8cc,Presidential Scholarship,Merit,13990.31,2023-08-05,2023-2024,True,2.76,0,1,18117.68,7247.07,0,0,0,18117.68,13990.31,48561.39,45.29,18682.01,False,5,3.9,2.27,-1.63,False,32,73,True,Retained,In Progress,3,88.93,0.13,2.68,6.42,157.55,84.98,True,False,True,False
8800,Lisa,Young,vincent59@example.com,Computer Science,Active,2023-11-10,2023,3.75,3.75,42,8,Good,cec692fb-aaf7-4bf1-980f-b8f6d6b31303,Athletic Excellence,Athletic,11865.76,2023-07-07,2023-2024,False,2.56,0,1,24488.05,0,0,12244.03,0,24488.05,11865.76,20324.2,61.22,43162.9,False,2,3.63,3.75,0.12,True,32,108,True,Retained,In Progress,7,94.33,0.14,0.52,-1.82,583.05,69.32,False,True,True,True
9477,Alexandra,Diaz,brentcruz@example.net,Biology,Active,2022-10-28,2022,2.69,2.69,95,6,Warning,e37cf7fd-069a-4109-a602-2aba31cdc9ac,STEM Innovation Grant,Athletic,11623.19,2023-07-13,2023-2024,False,2.78,3,2,22964.28,0,0,11482.14,0,11482.14,11623.19,20831.96,57.41,32907.16,True,1,3.66,2.69,-0.97,True,33,96,True,Retained,In Progress,4,97.94,0.35,8.81,5.49,241.73,68.58,False,False,True,True
